log,backbone,batch_size,embedding_size,epochs,freeze_layers,grad_clip,hidden_size,lr,n_layers,rnn_type,strategy,weight_decay,n_runs,total_params,trainable_params,mt_score_mean,mt_score_std,mt_score_2task_mean,mt_score_2task_std,test_next_activity_acc_mean,test_next_activity_acc_std,test_next_activity_loss_mean,test_next_activity_loss_std,test_next_remaining_time_loss_mean,test_next_remaining_time_loss_std,test_next_time_to_next_event_loss_mean,test_next_time_to_next_event_loss_std,best_test_next_activity_acc_mean,best_test_next_activity_acc_std,best_test_next_activity_loss_mean,best_test_next_activity_loss_std,best_test_next_remaining_time_loss_mean,best_test_next_remaining_time_loss_std,best_test_next_time_to_next_event_loss_mean,best_test_next_time_to_next_event_loss_std,selection_score,Dataset,Backbone_pretty,test_next_activity_acc_mean_std,test_next_activity_loss_mean_std,test_next_remaining_time_loss_mean_std,test_next_time_to_next_event_loss_mean_std,best_test_next_activity_acc_mean_std,best_test_next_activity_loss_mean_std,best_test_next_remaining_time_loss_mean_std,best_test_next_time_to_next_event_loss_mean_std,Runtime (h),Setting,lora_alpha,r,few_shot_k,# params (%trainable)
BPI12,gemma-2-2b,8.0,2304.0,10.0,,5.0,2304.0,5e-05,1.0,lstm,sum,0.1,5.0,2614514717.0,414749.0,1.968144721385736,0.0460466176678297,1.8790522295317744,0.0140387126881737,0.0798934801258221,0.0341461127339956,3.6757339778067832,0.221671187182934,1.7119814361862395,0.2359572812644013,1.6090494661030543,0.0567542751059967,0.0876394052044609,0.0281370899906423,3.480285181970572,0.1925825523158013,1.3363434743601694,0.1229558129641344,1.5518665427241387,0.0225744844152423,,BPI12,Gemma-2-2B,0.0799 ± 0.0341,3.6757 ± 0.2217,1.712 ± 0.236,1.609 ± 0.0568,0.0876 ± 0.0281,3.4803 ± 0.1926,1.3363 ± 0.123,1.5519 ± 0.0226,0.11437 ± 0.00098,FewShot-Freezing,,,8.0,2.6e+09 (0%)
BPI12,gemma-2-2b,8.0,2304.0,10.0,,5.0,2304.0,5e-05,1.0,,sum,0.1,5.0,2946782237.0,332440349.0,1.806814773408452,0.2279145957131494,1.7230715779648524,0.2085904801275669,0.075096511295396,0.0496030125231045,4.154940436109325,0.8314469531789741,3.524664434861985,2.3271417901237275,2.501980295490174,1.330337391912861,0.0953209894195024,0.0496377826943588,3.1654256537058094,0.2168727443005767,1.4306587910393085,0.2371161136581603,1.6081865264519477,0.0677010391269292,,BPI12,Gemma-2-2B,0.0751 ± 0.0496,4.1549 ± 0.8314,3.5247 ± 2.3271,2.502 ± 1.3303,0.0953 ± 0.0496,3.1654 ± 0.2169,1.4307 ± 0.2371,1.6082 ± 0.0677,0.14829 ± 0.00058,FewShot-LoRA,512.0,256.0,8.0,2.9e+09 (11%)
BPI12,gemma-2-2b,8.0,2304.0,10.0,,5.0,2304.0,5e-05,1.0,lstm,sum,0.1,5.0,2614514717.0,414749.0,2.3049729530779306,0.0369979133456823,1.8687462015449408,0.0066057988255633,0.3911853016871604,0.0313873959001114,1.4898118881283402,0.0317942225311145,2.0048443129457683,0.0841146605428384,1.5120754600263928,0.0316715840395908,0.4027630826422648,0.0211441786815707,1.4815972832072828,0.0363564422769651,1.9841655460438503,0.0927765073682461,1.475538539928433,0.0157264456841862,,BPI12,Gemma-2-2B,0.3912 ± 0.0314,1.4898 ± 0.0318,2.0048 ± 0.0841,1.5121 ± 0.0317,0.4028 ± 0.0211,1.4816 ± 0.0364,1.9842 ± 0.0928,1.4755 ± 0.0157,0.63840 ± 0.00268,Freezing,,,,2.6e+09 (0%)
BPI12,gemma-2-2b,8.0,2304.0,10.0,"-1,-2",5.0,2304.0,5e-05,1.0,lstm,sum,0.1,5.0,2614514717.0,156128285.0,2.6482578315284293,0.0693831505231319,1.822054616278723,0.0029839278022689,0.7408957678009722,0.0644246093472482,0.758728104805926,0.1566528087440855,2.9607473719822144,0.0668423100913839,1.4069588332250889,0.057361023582672,0.7920896482699457,0.0108928587899225,0.6666438768301687,0.0472172704187009,2.190176728495479,0.1722633400708928,1.360185308692578,0.0078526090656431,,BPI12,Gemma-2-2B,0.7409 ± 0.0644,0.7587 ± 0.1567,2.9607 ± 0.0668,1.407 ± 0.0574,0.7921 ± 0.0109,0.6666 ± 0.0472,2.1902 ± 0.1723,1.3602 ± 0.0079,0.70089 ± 0.00147,"Freezing-[-1, -2]",,,,2.6e+09 (6%)
BPI12,gemma-2-2b,8.0,2304.0,10.0,-1,5.0,2304.0,5e-05,1.0,lstm,sum,0.1,5.0,2614514717.0,78271517.0,2.6723734413751608,0.0819133962207431,1.838126351195416,0.0099212448522702,0.7481090935087218,0.0678254302177274,0.8251637257343706,0.316368221660284,2.648449474748804,0.1867012887677662,1.4280623926434834,0.0204692598885051,0.8007327709465256,0.0061441329398278,0.6463930272224258,0.042883832507218,2.2036046872081143,0.175526863450988,1.3601112543475105,0.0117043758783179,,BPI12,Gemma-2-2B,0.7481 ± 0.0678,0.8252 ± 0.3164,2.6484 ± 0.1867,1.4281 ± 0.0205,0.8007 ± 0.0061,0.6464 ± 0.0429,2.2036 ± 0.1755,1.3601 ± 0.0117,0.66969 ± 0.00339,Freezing-[-1],,,,2.6e+09 (3%)
BPI12,gemma-2-2b,8.0,2304.0,10.0,"0,1",5.0,2304.0,5e-05,1.0,lstm,sum,0.1,5.0,2614514717.0,156128285.0,2.6761663842038605,0.068053059464235,1.8590035596089247,0.0079703441947956,0.7327888189877038,0.0603074766279362,0.7753307895691762,0.0927292366151911,2.413002672944456,0.1309229732022202,1.3020860863800985,0.0234066936161971,0.796993851873034,0.0120587052808679,0.6982997246067422,0.0244301440679866,2.3113180315583675,0.1782673194842324,1.2988797173555766,0.0189769934125366,,BPI12,Gemma-2-2B,0.7328 ± 0.0603,0.7753 ± 0.0927,2.413 ± 0.1309,1.3021 ± 0.0234,0.797 ± 0.0121,0.6983 ± 0.0244,2.3113 ± 0.1783,1.2989 ± 0.019,0.70158 ± 0.00118,"Freezing-[0, 1]",,,,2.6e+09 (6%)
BPI12,gemma-2-2b,8.0,2304.0,10.0,0,5.0,2304.0,5e-05,1.0,lstm,sum,0.1,5.0,2614514717.0,78271517.0,2.732618942350123,0.0067261826323643,1.856446442599444,0.0092746520310718,0.7857056048041178,0.0103327132214431,0.7290480320662269,0.0074456667075874,2.4202806488992668,0.1473850593595136,1.3369438110182152,0.0233132650370471,0.7932871032313411,0.0050581909603477,0.7206460445198906,0.0217208491846428,2.212179603171129,0.0645178870013078,1.3219247703566748,0.023764372650476,,BPI12,Gemma-2-2B,0.7857 ± 0.0103,0.729 ± 0.0074,2.4203 ± 0.1474,1.3369 ± 0.0233,0.7933 ± 0.0051,0.7206 ± 0.0217,2.2122 ± 0.0645,1.3219 ± 0.0238,0.67204 ± 0.00218,Freezing-[0],,,,2.6e+09 (3%)
BPI12,gemma-2-2b,8.0,2304.0,10.0,,5.0,2304.0,5e-05,1.0,,sum,0.1,6.0,2946782237.0,332440349.0,2.5613944427341053,0.0670012982410162,1.852808649786913,0.0189958162435743,0.6354226241540368,0.048927588315652,1.106421230357137,0.1702263354641998,2.338086739936037,0.2469488760852259,1.4699259076365372,0.0881567855454379,0.6586151224859402,0.0531104483581033,1.0286001790147663,0.134050089822606,2.0590903205787665,0.1172824068794631,1.4005934605502903,0.0659189674237508,,BPI12,Gemma-2-2B,0.6354 ± 0.0489,1.1064 ± 0.1702,2.3381 ± 0.2469,1.4699 ± 0.0882,0.6586 ± 0.0531,1.0286 ± 0.1341,2.0591 ± 0.1173,1.4006 ± 0.0659,0.94224 ± 0.01156,LoRA,512.0,256.0,,2.9e+09 (11%)
BPI12,gemma-2-2b,8.0,2304.0,0.0,,5.0,2304.0,5e-05,1.0,lstm,sum,0.1,5.0,2614514717.0,414749.0,1.6414194260522286,0.2267895024668922,1.6082314663557458,0.237017646431189,0.0297612239062053,0.0183841943387687,4.444376227499111,0.6145360476037207,4.330644080803877,3.248711257342971,3.6357092122776633,2.514010421132074,0.0297612239062053,0.0183841943387687,4.444376227499111,0.6145360476037207,4.330644080803877,3.248711257342971,3.6357092122776633,2.514010421132074,,BPI12,Gemma-2-2B,0.0298 ± 0.0184,4.4444 ± 0.6145,4.3306 ± 3.2487,3.6357 ± 2.514,0.0298 ± 0.0184,4.4444 ± 0.6145,4.3306 ± 3.2487,3.6357 ± 2.514,0.01072 ± 0.00068,ZeroShot,,,,2.6e+09 (0%)
